"job_title","company_name","source","id","timestamp","timezone"
"Legal Officer","Genomik Solidaritas Indonesia","Glints Native","1d1d13b0-65cd-4bd8-8648-e757274bc067","2022-06-30 11:57:48","UTC"
"IT Governance and Compliance Supervisor","PT Tunas Ridean, Tbk","Glints Native","a9500367-3ed7-42d2-80fb-786ecb733dff","2022-06-30 11:57:48","UTC"
"ADMIN","Amari Ventures","Glints Native","11fc8f30-f21f-43ae-adb1-8a2ea12cd466","2022-06-30 11:57:48","UTC"
"Risk Management Head","Dompet Kilat","Glints Native","8caa987c-d1d7-4c20-9e40-6dfc8cba2747","2022-06-30 11:57:48","UTC"
"Internal Auditor","Yayasan Sahid Jaya","Jobstreet","3941105","2022-07-01 11:47:43","UTC"
"Investment & Treasury Officer","PT Asuransi Raksa Pratikara","Jobstreet","3940692","2022-07-01 11:47:43","UTC"
"J-SOX Audit Staff","PT Indonesia Epson Industry","Jobstreet","3940472","2022-07-01 11:47:43","UTC"
"Junior Internal Auditor","Jakmall.com","Glints Native","5b6c25f8-7579-406a-8d68-c57468fc3b79","2022-07-01 11:48:28","UTC"
"Accounting Officer","PT Oligo Infra Swarna Nusantara","Jobstreet","3941439","2022-07-01 23:50:23","UTC"
"General Ledger Officer","PT. Swift Logistics Solutions (Jakarta)","Jobstreet","3944263","2022-07-05 11:47:53","UTC"
"Senior Internal Auditor","Jakmall.com","Glints Native","a0f86c10-30d2-4da4-9d38-f7d927d1f2e3","2022-07-05 11:48:53","UTC"
"Surveillance Audit Staff","Agung Sedayu Group","Jobstreet","3947105","2022-07-06 23:52:47","UTC"
"IT ASSET MANAGEMENT & ACTIVE DIRECTORY SPECIALIST","PT Yamaha Indonesia Motor Mfg","Jobstreet","3947713","2022-07-07 11:57:51","UTC"
"IT Governance Risk Compliance (GRC) Consultants","Altha Consulting","Glints Native","5e936750-d940-4a45-9c11-3835c81b57af","2022-07-07 11:58:25","UTC"
"ACCOUNTING SUPERVISOR","PT CIPTA MOZAIK GLOBALINDO","Jobstreet","3948759","2022-07-07 23:51:52","UTC"
"STAFF KEUANGAN","Yayasan Bina Kreativitas Montessori","Jobstreet","3949584","2022-07-08 11:49:50","UTC"
"Internal Audit Staff","Agung Sedayu Group","Jobstreet","3950210","2022-07-08 11:49:50","UTC"
"IT Governance, Risk & Compliance Specialist","DANA Indonesia","Glints Native","a06c1160-4f90-491f-9026-9f8519e62d69","2022-07-09 11:49:05","UTC"
